Theta,Dir Phi0,Dir Phi90
-90.00,-40.00,-2.98
-89.00,-36.82,-2.98
-88.00,-30.80,-2.98
-87.00,-27.28,-2.97
-86.00,-24.78,-2.97
-85.00,-22.84,-2.96
-84.00,-21.26,-2.95
-83.00,-19.92,-2.93
-82.00,-18.75,-2.92
-81.00,-17.73,-2.90
-80.00,-16.81,-2.88
-79.00,-15.99,-2.86
-78.00,-15.23,-2.84
-77.00,-14.53,-2.82
-76.00,-13.89,-2.79
-75.00,-13.29,-2.76
-74.00,-12.73,-2.73
-73.00,-12.20,-2.70
-72.00,-11.70,-2.67
-71.00,-11.23,-2.64
-70.00,-10.79,-2.60
-69.00,-10.36,-2.57
-68.00,-9.96,-2.53
-67.00,-9.57,-2.49
-66.00,-9.20,-2.45
-65.00,-8.85,-2.41
-64.00,-8.51,-2.37
-63.00,-8.18,-2.32
-62.00,-7.87,-2.28
-61.00,-7.56,-2.23
-60.00,-7.27,-2.19
-59.00,-6.99,-2.14
-58.00,-6.72,-2.09
-57.00,-6.46,-2.05
-56.00,-6.20,-2.00
-55.00,-5.95,-1.95
-54.00,-5.71,-1.90
-53.00,-5.48,-1.85
-52.00,-5.26,-1.80
-51.00,-5.04,-1.75
-50.00,-4.83,-1.70
-49.00,-4.63,-1.65
-48.00,-4.43,-1.60
-47.00,-4.23,-1.55
-46.00,-4.05,-1.49
-45.00,-3.87,-1.44
-44.00,-3.69,-1.39
-43.00,-3.52,-1.34
-42.00,-3.35,-1.29
-41.00,-3.19,-1.25
-40.00,-3.03,-1.20
-39.00,-2.88,-1.15
-38.00,-2.74,-1.10
-37.00,-2.59,-1.05
-36.00,-2.45,-1.01
-35.00,-2.32,-0.96
-34.00,-2.19,-0.92
-33.00,-2.07,-0.87
-32.00,-1.95,-0.83
-31.00,-1.83,-0.79
-30.00,-1.72,-0.75
-29.00,-1.61,-0.71
-28.00,-1.50,-0.67
-27.00,-1.40,-0.63
-26.00,-1.30,-0.59
-25.00,-1.21,-0.55
-24.00,-1.12,-0.52
-23.00,-1.04,-0.48
-22.00,-0.95,-0.45
-21.00,-0.88,-0.42
-20.00,-0.80,-0.39
-19.00,-0.73,-0.36
-18.00,-0.67,-0.33
-17.00,-0.60,-0.31
-16.00,-0.54,-0.28
-15.00,-0.49,-0.26
-14.00,-0.44,-0.24
-13.00,-0.39,-0.22
-12.00,-0.34,-0.20
-11.00,-0.30,-0.18
-10.00,-0.26,-0.16
-9.00,-0.23,-0.15
-8.00,-0.20,-0.14
-7.00,-0.17,-0.12
-6.00,-0.15,-0.11
-5.00,-0.13,-0.10
-4.00,-0.11,-0.10
-3.00,-0.10,-0.09
-2.00,-0.09,-0.09
-1.00,-0.09,-0.09
-0.00,-0.09,-0.09
0.00,-0.09,-0.09
1.00,-0.09,-0.09
2.00,-0.09,-0.09
3.00,-0.10,-0.09
4.00,-0.11,-0.10
5.00,-0.13,-0.10
6.00,-0.15,-0.11
7.00,-0.17,-0.12
8.00,-0.20,-0.14
9.00,-0.23,-0.15
10.00,-0.26,-0.16
11.00,-0.30,-0.18
12.00,-0.34,-0.20
13.00,-0.39,-0.22
14.00,-0.44,-0.24
15.00,-0.49,-0.26
16.00,-0.54,-0.28
17.00,-0.60,-0.31
18.00,-0.67,-0.33
19.00,-0.73,-0.36
20.00,-0.80,-0.39
21.00,-0.88,-0.42
22.00,-0.95,-0.45
23.00,-1.04,-0.48
24.00,-1.12,-0.52
25.00,-1.21,-0.55
26.00,-1.30,-0.59
27.00,-1.40,-0.63
28.00,-1.50,-0.67
29.00,-1.61,-0.71
30.00,-1.72,-0.75
31.00,-1.83,-0.79
32.00,-1.95,-0.83
33.00,-2.07,-0.87
34.00,-2.19,-0.92
35.00,-2.32,-0.96
36.00,-2.45,-1.01
37.00,-2.59,-1.05
38.00,-2.74,-1.10
39.00,-2.88,-1.15
40.00,-3.03,-1.20
41.00,-3.19,-1.25
42.00,-3.35,-1.29
43.00,-3.52,-1.34
44.00,-3.69,-1.39
45.00,-3.87,-1.44
46.00,-4.05,-1.49
47.00,-4.23,-1.55
48.00,-4.43,-1.60
49.00,-4.63,-1.65
50.00,-4.83,-1.70
51.00,-5.04,-1.75
52.00,-5.26,-1.80
53.00,-5.48,-1.85
54.00,-5.71,-1.90
55.00,-5.95,-1.95
56.00,-6.20,-2.00
57.00,-6.46,-2.05
58.00,-6.72,-2.09
59.00,-6.99,-2.14
60.00,-7.27,-2.19
61.00,-7.56,-2.23
62.00,-7.87,-2.28
63.00,-8.18,-2.32
64.00,-8.51,-2.37
65.00,-8.85,-2.41
66.00,-9.20,-2.45
67.00,-9.57,-2.49
68.00,-9.96,-2.53
69.00,-10.36,-2.57
70.00,-10.79,-2.60
71.00,-11.23,-2.64
72.00,-11.70,-2.67
73.00,-12.20,-2.70
74.00,-12.73,-2.73
75.00,-13.29,-2.76
76.00,-13.89,-2.79
77.00,-14.53,-2.82
78.00,-15.23,-2.84
79.00,-15.99,-2.86
80.00,-16.81,-2.88
81.00,-17.73,-2.90
82.00,-18.75,-2.92
83.00,-19.92,-2.93
84.00,-21.26,-2.95
85.00,-22.84,-2.96
86.00,-24.78,-2.97
87.00,-27.28,-2.97
88.00,-30.80,-2.98
89.00,-36.82,-2.98
90.00,-40.00,-2.98
