Theta,Dir Sim Phi0,Dir Sim Phi90
-180.00,-22.15,-22.15
-179.00,-22.16,-22.16
-178.00,-22.20,-22.19
-177.00,-22.23,-22.21
-176.00,-22.28,-22.25
-175.00,-22.35,-22.30
-174.00,-22.44,-22.35
-173.00,-22.53,-22.43
-172.00,-22.65,-22.51
-171.00,-22.78,-22.60
-170.00,-22.93,-22.71
-169.00,-23.10,-22.82
-168.00,-23.28,-22.94
-167.00,-23.49,-23.08
-166.00,-23.70,-23.21
-165.00,-23.94,-23.37
-164.00,-24.20,-23.53
-163.00,-24.48,-23.69
-162.00,-24.78,-23.87
-161.00,-25.11,-24.06
-160.00,-25.46,-24.24
-159.00,-25.83,-24.42
-158.00,-26.24,-24.62
-157.00,-26.67,-24.81
-156.00,-27.13,-25.01
-155.00,-27.63,-25.20
-154.00,-28.16,-25.38
-153.00,-28.73,-25.56
-152.00,-29.34,-25.72
-151.00,-30.00,-25.88
-150.00,-30.69,-26.02
-149.00,-31.44,-26.14
-148.00,-32.22,-26.23
-147.00,-33.06,-26.31
-146.00,-33.94,-26.35
-145.00,-34.85,-26.37
-144.00,-35.79,-26.36
-143.00,-36.72,-26.32
-142.00,-37.63,-26.24
-141.00,-38.45,-26.14
-140.00,-39.14,-26.01
-139.00,-39.62,-25.85
-138.00,-39.86,-25.66
-137.00,-39.80,-25.46
-136.00,-39.46,-25.23
-135.00,-38.87,-24.98
-134.00,-38.07,-24.71
-133.00,-37.15,-24.43
-132.00,-36.14,-24.15
-131.00,-35.11,-23.85
-130.00,-34.07,-23.55
-129.00,-33.06,-23.24
-128.00,-32.09,-22.93
-127.00,-31.16,-22.62
-126.00,-30.27,-22.30
-125.00,-29.43,-21.99
-124.00,-28.63,-21.67
-123.00,-27.87,-21.37
-122.00,-27.15,-21.06
-121.00,-26.47,-20.76
-120.00,-25.82,-20.45
-119.00,-25.20,-20.16
-118.00,-24.61,-19.86
-117.00,-24.04,-19.58
-116.00,-23.51,-19.28
-115.00,-22.98,-19.00
-114.00,-22.49,-18.72
-113.00,-22.00,-18.44
-112.00,-21.54,-18.17
-111.00,-21.09,-17.90
-110.00,-20.66,-17.64
-109.00,-20.24,-17.37
-108.00,-19.83,-17.11
-107.00,-19.43,-16.85
-106.00,-19.04,-16.60
-105.00,-18.67,-16.34
-104.00,-18.30,-16.10
-103.00,-17.94,-15.85
-102.00,-17.58,-15.60
-101.00,-17.24,-15.35
-100.00,-16.90,-15.11
-99.00,-16.56,-14.87
-98.00,-16.24,-14.63
-97.00,-15.92,-14.39
-96.00,-15.60,-14.16
-95.00,-15.29,-13.92
-94.00,-14.98,-13.69
-93.00,-14.68,-13.46
-92.00,-14.38,-13.23
-91.00,-14.09,-12.99
-90.00,-13.80,-12.76
-89.00,-13.51,-12.54
